Прізвище,Ім’я,По батькові,Стать,Дата народження,Посада,Місто проживання,Адреса проживання,Телефон,Email
Давиденко,Ірена,Єгорівна,Жінка,23.10.1933,Різноробочий,хутір Херсон,"вулиця Макаренка, буд. 3 кв. 3, Белз, 90255",+380 38 160-57-91,gerusles@example.net
Михайличенко,Олесь,Андрійович,Чоловік,19.10.1951,Доцент,місто Первомайський ,"узвіз Каманіна, буд. 91 кв. 68, Рубіжне, 89426",046 036-75-28,telizhenkotaras@example.com
Твердохліб,Еріка,Михайлівна,Жінка,21.10.1942,Мікробіолог,селище Мала Виска,"парк Ушакова, буд. 6, Алупка, 82604",+380 (34) 812-45-75,iosyp00@example.org
Гайдамака,Альберт,Андрійович,Чоловік,21.10.1940,Акушер,хутір Шахтарськ,"узвіз Прибережний, буд. 040 кв. 41, Черкаси, 71203",072 377-80-53,btarasenko@example.org
Корсун,Валентина,Єгорівна,Жінка,18.10.1952,Лікар,хутір Ходорів,"набережна Виноградний, буд. 734, Овруч, 91790",033 251-94-67,mpelekh@example.org
Христич,Марина,Дмитрівна,Жінка,19.10.1950,Модель,село Бердичів,"площа Недєліна, буд. 742, Прип'ять , 38280",682-96-07,roksolanaiakymenko@example.net
Сиротенко,Володимира,Дмитрівна,Жінка,23.10.1932,Бібліотекар,місто Луганськ,"вулиця Спартаківська, буд. 76 кв. 4, Жмеринка, 06793",024 558 28 89,levchenkodan@example.org
Ґерус,Алла,Іванівна,Жінка,22.10.1937,Стиліст,село Бровари,"площа Республіканська, буд. 8, Копичинці, 47927",005 400 67 97,rozaliia37@example.net
Шамрай,Альбіна,Михайлівна,Жінка,22.10.1939,Кінорежисер,місто Запоріжжя,"сквер Жасминна, буд. 721, Географія Вільнянська, 68410",038-71-05,nadiia69@example.net
Гоголь,Єва,Михайлівна,Жінка,19.10.1951,Клоун,місто Сорокине,"провулок Гагаріна, буд. 355, Новомосковськ, 45045",+380 73 152-26-54,eduard98@example.net
Іванченко,Леонід,Олександрович,Чоловік,23.10.1932,Візажист,місто Оріхів,"парк Давида Ойстраха, буд. 502 кв. 4, Ланівці, 45230",+380 20 741-38-77,mykolai57@example.com
Зінкевич,Амвросій,Михайлович,Чоловік,18.10.1952,Зоолог,село Горішні Плавні,"набережна Лютневий 2-й, буд. 56, Авдіївка, 50164",+380 48 196-34-76,fursamaliia@example.com
Саченко,Ярослава,Миколаївна,Жінка,20.10.1944,Швачка,село Бершадь,"вулиця Пересипський 1-й, буд. 72 кв. 6, Гайсин, 60352",444-06-21,chubaisymon@example.com
Тригуб,Пантелеймон,Сергійович,Чоловік,24.10.1929,Модель,місто Рівне,"проспект Ковиловий, буд. 42 кв. 5, Обухів, 22755",019 650-06-77,shakhraikamilla@example.com
Єрошенко,Лариса,Петрівна,Жінка,20.10.1944,Візажист,хутір Борислав,"вулиця Тіниста, буд. 6, Березівка, 69327",021 146-21-42,dorlyk@example.net
Артимович,Амалія,Олександрівна,Жінка,21.10.1942,Скульптор,селище Снігурівка,"проспект Дежньова, буд. 2, Карлівка, 31984",+380 (08) 219-09-84,zhadanalina@example.org
Медведенко,Орися,Іванівна,Жінка,18.10.1952,Випробувач,село Дунаївці,"узвіз Лінія 55-та, буд. 039 кв. 4, Коломия, 91518",+380 65 243-95-28,xtereshchuk@example.net
Цушко,Аніта,Володимирівна,Жінка,25.10.1927,Біолог,місто Волочиськ,"вулиця Лінійний, буд. 208 кв. 654, Ананьїв, 48736",+380 24 122-25-86,danna90@example.org
Александренко,Леонід,Миколайович,Чоловік,24.10.1928,Гірник,селище Бобровиця,"площа Деревообробний 4-й, буд. 275 кв. 8, Узин, 34184",+380 52 799 89 27,lupiiteodor@example.org
Носаченко,Борис,Михайлович,Чоловік,18.10.1952,Краєзнавець,село Городок,"узвіз Дніпропетровська дорога, буд. 545 кв. 430, Генічеськ, 03727",099 718 30 95,makohonprokhir@example.com
Яковенко,Роксолана,Олександрівна,Жінка,25.10.1926,Ді-джей,селище Винники,"сквер Амундсена, 1-й, буд. 68, Нова Одеса, 97419",+380 95 442-14-24,iefrem44@example.com
Щербак,Любов,Петрівна,Жінка,26.10.1923,Секретар,село Вараш,"узвіз Чорноморський 7-й, буд. 598 кв. 942, Гірник , 75158",+380 (23) 672-72-30,makohonpavlo@example.net
Лупій,Віра,Іванівна,Жінка,26.10.1923,Головний меркшейдер,місто Миронівка,"сквер Польова, буд. 07 кв. 19, Бровари, 71320",+380 (55) 400-75-70,tsiupakamilla@example.com
Артеменко,Ліза,Володимирівна,Жінка,19.10.1950,Локсмайстер,селище Бунге ,"сквер 14-та Лінія 6-й ст. Люстдорфської дороги, буд. 4, Турка, 86417",045 478 50 78,bohodarstus@example.com
Чалий,Семен,Єгорович,Чоловік,22.10.1938,Ботанік,місто Перечин,"проспект Вчительської, 2-й, буд. 5 кв. 27, Дружба , 73411",229-41-90,alevtynaleksiuk@example.com
Адамчук,Левко,Сергійович,Чоловік,23.10.1933,Піаніст,село Сніжне,"провулок Північна, буд. 862, Ровеньки, 61189",+380 28 098 83 27,kyrylohavriushenko@example.net
Вакуленко,Аніта,Володимирівна,Жінка,20.10.1946,Палеонтолог,місто Коломия,"провулок Виноградний тупик, буд. 538, Павлоград, 47303",825 36 83,iakiv42@example.com
Палій,Спас,Дмитрович,Чоловік,19.10.1950,Модельєр,селище Гуляйполе,"узвіз Водопровідний 2-й, буд. 83, Ізяслав, 30740",+380 (35) 198-81-33,sofiiadubas@example.net
Доценко,Роксолана,Андріївна,Жінка,18.10.1952,Фермер,селище Монастирище,"площа Володимира Вінниченка, буд. 8, Дніпро , 78931",029 11 70,telychenkoborys@example.net
Негода,Ганна,Петрівна,Жінка,21.10.1940,Фармацевт,місто Докучаєвськ,"шосе Трамвайний, буд. 4 кв. 2, Козятин, 70725",+380 43 489-15-80,anzhela00@example.org
Сірко,Гліб,Іванович,Чоловік,22.10.1936,Шериф,хутір Енергодар,"набережна Каховський, буд. 8, Алупка, 10165",+380 43 835-09-04,iustynaoliinyk@example.org
Охріменко,Яків,Володимирович,Чоловік,22.10.1937,Мірошник,селище Севастополь,"проспект Наявний 3-й, буд. 96, Новий Буг, 83944",+380 53 833-27-65,semenchenkoomelian@example.com
Атрощенко,Надія,Андріївна,Жінка,19.10.1949,Промисловець,місто Старий Самбір,"узвіз Лип Івана та Юрія, буд. 617, Судова Вишня, 35019",053 874 65 75,hmykytiuk@example.net
Зінчук,Аліна,Миколаївна,Жінка,24.10.1929,Модельєр,селище Ковель,"провулок Відважних, буд. 56 кв. 89, Вишгород, 61528",+380 32 648-44-38,alevtyn36@example.org
Перебийніс,Олесь,Олександрович,Чоловік,19.10.1950,Державний службовець,селище Голубівка,"площа Проектна 1-ша, буд. 467 кв. 4, Калуш, 94427",+380 20 174 61 29,mpiatachenko@example.org
Хоменко,Галина,Сергіївна,Жінка,19.10.1949,Будник,село Мена ,"площа Середня, буд. 576, Слов'янськ, 64696",+380 54 684-48-32,pavlo14@example.org
Цушко,Ярослав,Дмитрович,Чоловік,20.10.1945,Няня,селище Гірник ,"площа Парусна, буд. 50, Токмак, 96794",+380 (61) 442-79-07,sbabiak@example.net
Луценко,Данна,Єгорівна,Жінка,24.10.1929,Літературознавець,селище Тараща,"провулок Академіка Сахарова, буд. 0, Верхівцеве, 65164",+380 91 267 27 54,adam10@example.org
Павленко,Станіслав,Петрович,Чоловік,25.10.1924,Петрограф,місто Берегове,"шосе Проектна 1-ша, буд. 18 кв. 0, Кремінна, 94556",265-81-86,yudovenko@example.org
Фастенко,Анастасія,Петрівна,Жінка,22.10.1938,Машиніст,хутір Миколаївка ,"узвіз Дежньова, буд. 617 кв. 67, Бахчисарай, 33355",081 237-64-85,iakovenkopylyp@example.com
Журавель,Панас,Іванович,Чоловік,20.10.1947,Шериф,селище Житомир,"вулиця Дем’янова, буд. 7 кв. 492, Київ, 50496",912 94 75,xderkach@example.net
Євдокименко,Ірина,Михайлівна,Жінка,25.10.1924,Менеджер,хутір Новгород-Сіверський,"шосе Басейний 6-й, буд. 7 кв. 212, Скадовськ, 59060",+380 (62) 846-29-45,nieshchenko@example.net
